Zn k beta 1m ZnCl2 + 0.5m NaCl, at room temp, no fan
slit = 0.5
In temp. stage with PEEK tube ID 1.4mm
Ge555, Pd target
35kV 2.5 mA
det offset = +0.195
***************************
Energy_(eV)	theta_(deg)	source_(ustep)	detect_(ustep)	ROI_counts	total_counts	real_time	live_time	cnts_per_live	ICR_(cnts/sec)	OCR_(cnts/sec)
9.54000000E+3	8.42980716E+1	-8.13850000E+4	-6.42510000E+4	1.70000000E+1	6.50000000E+1	4.05000000E+0	4.05000000E+0	4.19753086E+0	5.92592593E+0	1.60493827E+1
9.54025000E+3	8.42835528E+1	-8.26600000E+4	-6.55280000E+4	1.10000000E+1	6.10000000E+1	4.04900000E+0	4.05000000E+0	2.71604938E+0	4.19856755E+0	1.50654483E+1
9.54050000E+3	8.42690702E+1	-8.39310000E+4	-6.68010000E+4	1.30000000E+1	6.10000000E+1	4.04900000E+0	4.05000000E+0	3.20987654E+0	3.95159299E+0	1.50654483E+1
9.54075000E+3	8.42546236E+1	-8.52000000E+4	-6.80710000E+4	1.00000000E+1	6.20000000E+1	4.04900000E+0	4.04900000E+0	2.46974562E+0	3.70461842E+0	1.53124228E+1
9.54100000E+3	8.42402126E+1	-8.64640000E+4	-6.93370000E+4	1.50000000E+1	7.10000000E+1	4.04900000E+0	4.04900000E+0	3.70461842E+0	6.91528773E+0	1.75351939E+1
9.54125000E+3	8.42258371E+1	-8.77260000E+4	-7.06010000E+4	1.00000000E+1	6.20000000E+1	4.05100000E+0	4.05100000E+0	2.46852629E+0	3.20908418E+0	1.53048630E+1
9.54150000E+3	8.42114967E+1	-8.89850000E+4	-7.18610000E+4	1.10000000E+1	6.40000000E+1	4.05000000E+0	4.05100000E+0	2.71537892E+0	5.43209877E+0	1.58024691E+1
9.54175000E+3	8.41971912E+1	-9.02400000E+4	-7.31180000E+4	1.70000000E+1	7.00000000E+1	4.04900000E+0	4.04900000E+0	4.19856755E+0	5.18646579E+0	1.72882193E+1
9.54200000E+3	8.41829204E+1	-9.14920000E+4	-7.43720000E+4	1.50000000E+1	6.00000000E+1	4.04900000E+0	4.05000000E+0	3.70370370E+0	4.93949123E+0	1.48184737E+1
9.54225000E+3	8.41686841E+1	-9.27410000E+4	-7.56230000E+4	1.10000000E+1	6.80000000E+1	4.05000000E+0	4.05000000E+0	2.71604938E+0	4.93827160E+0	1.67901235E+1
9.54250000E+3	8.41544818E+1	-9.39870000E+4	-7.68700000E+4	2.00000000E+1	7.60000000E+1	4.05100000E+0	4.05200000E+0	4.93583416E+0	6.66502098E+0	1.87607998E+1
9.54275000E+3	8.41403136E+1	-9.52290000E+4	-7.81150000E+4	1.70000000E+1	5.90000000E+1	4.05000000E+0	4.05100000E+0	4.19649469E+0	4.93827160E+0	1.45679012E+1
9.54300000E+3	8.41261790E+1	-9.64690000E+4	-7.93560000E+4	1.50000000E+1	5.90000000E+1	4.05000000E+0	4.05100000E+0	3.70278943E+0	4.19753086E+0	1.45679012E+1
9.54325000E+3	8.41120778E+1	-9.77050000E+4	-8.05940000E+4	1.60000000E+1	6.30000000E+1	4.04800000E+0	4.04900000E+0	3.95159299E+0	5.68181818E+0	1.55632411E+1
9.54350000E+3	8.40980099E+1	-9.89390000E+4	-8.18300000E+4	1.10000000E+1	4.80000000E+1	4.05000000E+0	4.05000000E+0	2.71604938E+0	3.20987654E+0	1.18518519E+1
9.54375000E+3	8.40839750E+1	-1.00169000E+5	-8.30620000E+4	1.40000000E+1	5.60000000E+1	4.04900000E+0	4.04900000E+0	3.45764386E+0	4.19856755E+0	1.38305755E+1
9.54400000E+3	8.40699729E+1	-1.01397000E+5	-8.42910000E+4	1.80000000E+1	6.90000000E+1	4.05000000E+0	4.05000000E+0	4.44444444E+0	6.41975309E+0	1.70370370E+1
9.54425000E+3	8.40560033E+1	-1.02621000E+5	-8.55170000E+4	1.60000000E+1	6.70000000E+1	4.05000000E+0	4.05100000E+0	3.94964206E+0	5.67901235E+0	1.65432099E+1
9.54450000E+3	8.40420661E+1	-1.03843000E+5	-8.67410000E+4	1.40000000E+1	7.00000000E+1	4.04900000E+0	4.04900000E+0	3.45764386E+0	5.18646579E+0	1.72882193E+1
9.54475000E+3	8.40281609E+1	-1.05061000E+5	-8.79610000E+4	1.50000000E+1	6.40000000E+1	4.05000000E+0	4.05000000E+0	3.70370370E+0	5.43209877E+0	1.58024691E+1
9.54500000E+3	8.40142876E+1	-1.06277000E+5	-8.91780000E+4	1.80000000E+1	8.00000000E+1	4.04900000E+0	4.04900000E+0	4.44554211E+0	6.42133860E+0	1.97579649E+1
9.54525000E+3	8.40004460E+1	-1.07490000E+5	-9.03930000E+4	1.40000000E+1	5.90000000E+1	4.05100000E+0	4.05100000E+0	3.45593681E+0	4.93705258E+0	1.45643051E+1
9.54550000E+3	8.39866359E+1	-1.08699000E+5	-9.16050000E+4	1.90000000E+1	7.70000000E+1	4.04900000E+0	4.05000000E+0	4.69135802E+0	6.66831316E+0	1.90170412E+1
9.54575000E+3	8.39728570E+1	-1.09906000E+5	-9.28130000E+4	7.00000000E+0	6.20000000E+1	4.05000000E+0	4.05000000E+0	1.72839506E+0	3.20987654E+0	1.53086420E+1
9.54600000E+3	8.39591092E+1	-1.11111000E+5	-9.40190000E+4	1.50000000E+1	6.90000000E+1	4.05000000E+0	4.05000000E+0	3.70370370E+0	5.18518519E+0	1.70370370E+1
9.54625000E+3	8.39453922E+1	-1.12312000E+5	-9.52220000E+4	1.60000000E+1	7.50000000E+1	4.04900000E+0	4.05000000E+0	3.95061728E+0	6.66831316E+0	1.85230921E+1
9.54650000E+3	8.39317058E+1	-1.13510000E+5	-9.64230000E+4	9.00000000E+0	5.60000000E+1	4.04900000E+0	4.04900000E+0	2.22277105E+0	4.69251667E+0	1.38305755E+1
9.54675000E+3	8.39180499E+1	-1.14706000E+5	-9.76200000E+4	2.20000000E+1	6.10000000E+1	4.05000000E+0	4.05000000E+0	5.43209877E+0	6.66666667E+0	1.50617284E+1
9.54700000E+3	8.39044243E+1	-1.15899000E+5	-9.88150000E+4	1.80000000E+1	7.70000000E+1	4.04900000E+0	4.05000000E+0	4.44444444E+0	6.17436404E+0	1.90170412E+1
9.54725000E+3	8.38908286E+1	-1.17089000E+5	-1.00007000E+5	1.40000000E+1	7.10000000E+1	4.05000000E+0	4.05000000E+0	3.45679012E+0	4.69135802E+0	1.75308642E+1
9.54750000E+3	8.38772628E+1	-1.18277000E+5	-1.01196000E+5	2.30000000E+1	7.40000000E+1	4.04900000E+0	4.05000000E+0	5.67901235E+0	7.65621141E+0	1.82761176E+1
9.54775000E+3	8.38637267E+1	-1.19461000E+5	-1.02382000E+5	1.20000000E+1	6.10000000E+1	4.04900000E+0	4.05000000E+0	2.96296296E+0	4.44554211E+0	1.50654483E+1
9.54800000E+3	8.38502200E+1	-1.20643000E+5	-1.03566000E+5	1.10000000E+1	6.00000000E+1	4.05000000E+0	4.05000000E+0	2.71604938E+0	4.69135802E+0	1.48148148E+1
9.54825000E+3	8.38367427E+1	-1.21823000E+5	-1.04747000E+5	1.70000000E+1	7.20000000E+1	4.04900000E+0	4.04900000E+0	4.19856755E+0	7.40923685E+0	1.77821684E+1
9.54850000E+3	8.38232944E+1	-1.22999000E+5	-1.05926000E+5	1.60000000E+1	7.10000000E+1	4.04900000E+0	4.04900000E+0	3.95159299E+0	6.17436404E+0	1.75351939E+1
